,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,PIXEL_INDEX,MIN_LAT (deg),MAX_LAT(deg),MIN_LON deg,MAX_LON deg,AM g/mol,NEUTRON_DEN g/cm3,W_MGOg/g,W_AL2O3g/g,W_SIO2g/g,W_CAOg/g,W_TIO2g/g,W_FEO g/g,W_K ppm,W_THppm,W_U ppm,E[00],E[01],E[02],E[03],E[04],E[05],E[06],E[07],E[08],E[11],E[12],E[13],E[14],E[15],E[16],E[17],E[18],E[22],E[23],E[24],E[25],E[26],E[27],E[28],E[33],E[34],E[35],E[36],E[37],E[38],E[44],E[45],E[46],E[47],E[48],E[55],E[56],E[57],E[58],E[66],E[67],E[68],E[77],E[78],E[88],H,Sm,Mg,Al,Si,Ca,Ti,Fe,K,Th,U,Gd,O,sigma_a_calc,thermal_flux,thermal_flux_no_correction,thermal_flux_no_gravity,thermal_flux_gravity
319,319,319,319,319,319,319,319.0,-42.5,-37.5,-84.0,-78.0,21.663,1.6267e-06,0.039403,0.27804,0.47542,0.13431,0.0038483,0.046469,82.781,0.18392,0.049209,0.00016453,0.0,0.0,-4.686e-05,0.0,0.0,-0.55268,4.7386e-06,-7.9534e-05,0.00040865,0.0,-0.00012709,0.0,-3.5935e-05,0.098894,-0.0003521,8.938399999999998e-05,0.00030919,-1.4023e-05,-8.739399999999998e-06,3.6972e-06,0.37245,0.00037772,-0.00054317,0.00014399,0.0,0.0,0.060109,-0.00012685,0.00018014,3.1155e-06,4.7808e-07,-0.0076172999999999,4.9962e-06,3.6476e-05,1.1665e-05,0.0075735,1.7638e-05,4.8676e-05,6160.1,0.0,0.0,0.0085164,-0.0012088,0.0048522,7.917644605430299e-05,2.374579715175035e-07,0.0218434767389294,0.092404554437619,0.205213067675802,0.1240007004452406,0.0021299686781214,0.0333517524895415,7.642693755906087e-05,1.6980276097005925e-07,4.543184028151177e-08,3.086953629727545e-07,0.5209001147631969,31.991936165939062,0.3038892506399473,0.2361815429422427,0.2361815429422427,0.3038892506399473
320,320,320,320,320,320,320,320.0,-42.5,-37.5,-78.0,-72.0,21.684,1.5867e-06,0.056864,0.25679,0.45772,0.15116,0.0037614,0.05195,133.33,0.14483,0.038537,0.00018288,0.0,0.0,-5.23e-05,0.0,0.0,-0.61415,6.2295e-06,-8.6371e-05,0.00045418,0.0,-0.00014283,0.0,-4.0428e-05,0.10916,-0.00038503,0.00010462,0.00034224,-1.5003e-05,-9.9593e-06,3.8541e-06,0.41526,0.000417,-0.00060872,0.00016152,0.0,0.0,0.067088,-0.00014405,0.00019701,3.6403e-06,5.8217e-07,-0.0087369,5.5543e-06,4.184e-05,1.3532e-05,0.008855,1.8779e-05,5.4791e-05,6845.8,0.0,0.0,0.009429,-0.001349,0.0053756,6.0243204355217134e-05,4.497299357687673e-07,0.030711750512539,0.0831455276886603,0.1924873277518247,0.1359650734830833,0.0020282827902212,0.0363258322917366,0.0001199273832197,1.302713786223536e-07,3.4663178333008635e-08,5.846489164993976e-07,0.5191548355809503,33.033665305464126,0.28949478252687066,0.2213285070251083,0.2213285070251083,0.28949478252687066
321,321,321,321,321,321,321,321.0,-42.5,-37.5,-72.0,-66.0,21.748,1.507e-06,0.056128,0.25662,0.45067,0.1608,0.0064847,0.055886,107.61,0.39718,0.10743,0.00017315,0.0,0.0,-5.0111e-05,0.0,0.0,-0.58157,9.3125e-06,-8.3199e-05,0.00043445,0.0,-0.00013901,0.0,-3.946e-05,0.10079,-0.00035961,0.00011203,0.00032559,-1.3652e-05,-9.9653e-06,3.0849e-06,0.39777,0.000396,-0.00059134,0.00015632,0.0,0.0,0.063577,-0.00014185,0.00018444,3.8551e-06,6.9327e-07,-0.0087618,4.9238e-06,4.2513e-05,1.3958e-05,0.0091055,1.6266e-05,5.3948e-05,6488.5,0.0,0.0,0.0089505,-0.0013122,0.0051235,5.9935211155202726e-05,7.321932099185273e-07,0.0297776110401989,0.0816195897903676,0.1861675672572776,0.1420756472925933,0.0034348833685686,0.0383862925243372,9.507935575345752e-05,3.509303830327876e-07,9.49203158497718e-08,9.518511728940856e-07,0.5183812642646661,35.18548748999356,0.27037454360951707,0.20581644490925807,0.20581644490925807,0.27037454360951707
322,322,322,322,322,322,322,322.0,-42.5,-37.5,-66.0,-60.0,21.933,1.405e-06,0.055461,0.24765,0.45995,0.16277,0.0050375,0.064642,183.21,0.41849,0.11325,0.00017357,0.0,0.0,-5.163e-05,0.0,0.0,-0.58509,1.4633e-05,-8.6236e-05,0.000441,0.0,-0.00014431,0.0,-4.146e-05,0.097399,-0.00035665,0.00012758,0.00032764,-1.2575e-05,-1.081e-05,2.2431e-06,0.40492,0.00040032,-0.00061309,0.000161,0.0,0.0,0.065709,-0.00014956,0.00018248,4.4938e-06,9.4652e-07,-0.0094767,4.2638e-06,4.7269e-05,1.5942e-05,0.010526,1.4109e-05,5.7664e-05,6557.7,0.0,0.0,0.0090518,-0.0013686,0.0052087,4.8293100597128975e-05,2.104876635151264e-06,0.0298019361568003,0.0797790275086519,0.1924431674284778,0.1456647477322213,0.0027026117694935,0.0449711947512788,0.0001639567391535,3.745115210324833e-07,1.0134872937687577e-07,2.7363396256966435e-06,0.5044197477368142,38.91942358731527,0.24097234087471342,0.18866979048111188,0.18866979048111188,0.24097234087471342
323,323,323,323,323,323,323,323.0,-42.5,-37.5,-60.0,-54.0,21.962,1.3285e-06,0.057685,0.27293,0.4447,0.15705,0.0049708,0.064455,245.42,0.67079,0.18213,0.00017947,0.0,0.0,-5.3799e-05,0.0,0.0,-0.60171,1.9117e-05,-8.9658e-05,0.0004585,0.0,-0.00015156,0.0,-4.396e-05,0.098242,-0.00036368,0.00014456,0.00033891,-1.2114e-05,-1.1871e-05,1.9524e-06,0.42012,0.00041458,-0.00064239,0.00016858,0.0,0.0,0.067794,-0.0001598,0.00018309,5.2326e-06,1.1744e-06,-0.010423,3.8515e-06,5.2418e-05,1.784e-05,0.011822,1.2914e-05,6.051e-05,6751.3,0.0,0.0,0.0093528,-0.001444,0.0053771,5.0652172863897305e-05,2.44735550895596e-06,0.0334757306103095,0.0949537375847366,0.2009413824724828,0.15178484852662,0.0028800848157021,0.0484268964030913,0.0002371922160165,6.483015507365262e-07,1.7602403350622924e-07,3.181562161642748e-06,0.4672430219549223,42.11262341774461,0.22210769620914497,0.19101011221667147,0.19101011221667147,0.22210769620914497
324,324,324,324,324,324,324,324.0,-42.5,-37.5,-54.0,-48.0,21.937,1.3131e-06,0.066478,0.24906,0.44476,0.1534,0.0088392,0.065284,393.94,1.0012,0.27233,0.00018579,0.0,0.0,-5.5665e-05,0.0,0.0,-0.62698,2.032e-05,-8.769599999999998e-05,0.00046831,0.0,-0.0001551,0.0,-4.5326e-05,0.10246,-0.00037419,0.00014602,0.00034677,-1.24e-05,-1.2275e-05,1.7963e-06,0.43632,0.00042741,-0.00066123,0.0001728,0.0,0.0,0.07187,-0.00016456,0.00018756,5.4908e-06,1.2614e-06,-0.01086,3.7656e-06,5.4323e-05,1.8615e-05,0.012499,1.3048e-05,6.2919e-05,7012.9,0.0,0.0,0.0096946,-0.0015068,0.0055164,4.740985588597745e-05,2.475922362822481e-06,0.0365727900496905,0.0821443605337829,0.1905201691257776,0.1405493433212332,0.004855175453247,0.0464996581920088,0.0003609387764534,9.17327265535976e-07,2.4951631464583737e-07,3.2186990716692254e-06,0.4984432932269057,41.44056893906708,0.22741610407256174,0.18456170310277142,0.18456170310277142,0.22741610407256174
325,325,325,325,325,325,325,325.0,-42.5,-37.5,-48.0,-42.0,21.865,1.2978e-06,0.083966,0.24465,0.4127,0.17443,0.007302,0.074357,421.0,1.0683,0.29064,0.00018574,0.0,0.0,-5.5525e-05,0.0,0.0,-0.62396,2.1268e-05,-8.6261e-05,0.00046859,0.0,-0.00015546,0.0,-4.5468e-05,0.10169,-0.00037071,0.00014967,0.00034578,-1.168e-05,-1.233e-05,1.7106e-06,0.43431,0.00042583,-0.00065951,0.0001728,0.0,0.0,0.071282,-0.00016558,0.00018363,5.5653e-06,1.2801e-06,-0.010875,3.6593e-06,5.4536e-05,1.8976e-05,0.012713,1.233e-05,6.2694e-05,6960.3,0.0,0.0,0.0096252,-0.0015047,0.0054632,4.538741198619282e-05,2.566600168197826e-06,0.0434181286044384,0.0758414238407942,0.1661640978667794,0.1502145947082546,0.0037698258247206,0.0497797088512069,0.0003625542875203,9.199922692588916e-07,2.5029163450098685e-07,3.336580218657174e-06,0.5103972051400084,41.21011252456631,0.22887341755875076,0.17453210672957026,0.17453210672957026,0.22887341755875076
326,326,326,326,326,326,326,326.0,-42.5,-37.5,-42.0,-36.0,21.739,1.3069e-06,0.0812959999999999,0.24585,0.42216,0.18198,0.0088642,0.068852,397.39,1.1954,0.32533,0.00019446,0.0,0.0,-5.8039e-05,0.0,0.0,-0.64943,2.1843e-05,-8.9659e-05,0.00048854,0.0,-0.00016142,0.0,-4.7176e-05,0.10539,-0.0003877,0.00015368,0.00036171,-1.2354e-05,-1.2769e-05,1.856e-06,0.45211,0.00044422,-0.00068465,0.00017941,0.0,0.0,0.0742089999999999,-0.00017176,0.00019154,5.7062e-06,1.3187e-06,-0.011179,3.8354e-06,5.617e-05,1.9386e-05,0.012863,1.3313e-05,6.5184e-05,7207.5,0.0,0.0,0.010026,-0.0015638,0.0056677,4.863407393533808e-05,2.5386977917056755e-06,0.0417310118130787,0.0756577761135426,0.1687337301576881,0.1555738901315325,0.0045429829202498,0.0457582233672289,0.0003397269381215,1.021942126954797e-06,2.781231656033162e-07,3.300307129217378e-06,0.5076068854144089,41.05272091688683,0.22841237729977304,0.17226524722181497,0.17226524722181497,0.22841237729977304
327,327,327,327,327,327,327,327.0,-42.5,-37.5,-36.0,-30.0,21.702,1.3522e-06,0.0888189999999999,0.27478,0.44171,0.14874,0.0059112,0.05562,608.85,1.1088,0.30171,0.0001988,0.0,0.0,-5.8986e-05,0.0,0.0,-0.66675,1.8809e-05,-9.0233e-05,0.00049483,0.0,-0.00016237,0.0,-4.6763e-05,0.10985,-0.00039894,0.00014883,0.00036775,-1.3207e-05,-1.2507e-05,2.4057e-06,0.46053,0.00045171,-0.00068954,0.00018118,0.0,0.0,0.076417,-0.00017096,0.00019874,5.3771e-06,1.1942e-06,-0.010941,4.4637e-06,5.4636e-05,1.8359e-05,0.012551,1.5084e-05,6.4136e-05,7426.7,0.0,0.0,0.010228,-0.0015715,0.0057705,6.150072371248681e-05,2.215984263571565e-06,0.0496477185342076,0.0920814517546754,0.1922497295349196,0.1384664339454018,0.0032989891785855,0.0402519809164118,0.0005667963446796,1.0322144813679009e-06,2.808706991103079e-07,2.8807795426430345e-06,0.4833689892184191,38.870388514984896,0.245929991345351,0.20010148201304515,0.20010148201304515,0.245929991345351
328,328,328,328,328,328,328,328.0,-42.5,-37.5,-30.0,-24.0,21.81,1.2899e-06,0.076741,0.27969,0.43313,0.16349,0.0042043,0.052694,701.34,1.4229,0.38745,0.00019573,0.0,0.0,-5.8502e-05,0.0,0.0,-0.66041,2.3403e-05,-8.827199999999998e-05,0.00049279,0.0,-0.0001627,0.0,-4.7646e-05,0.10733,-0.00039315,0.0001585,0.00036369,-1.1711e-05,-1.2945e-05,2.1689e-06,0.45923,0.00044944,-0.00068851,0.00018022,0.0,0.0,0.076169,-0.00017344,0.00018993,5.8271e-06,1.3842e-06,-0.011391,3.6126e-06,5.7135e-05,1.949e-05,0.013342,1.3637e-05,6.4489e-05,7380.5,0.0,0.0,0.010169,-0.0015933,0.0057201,3.4408879856562655e-05,4.136209128310582e-06,0.0456854539394842,0.0998208011104832,0.2007723234400068,0.1620932752585776,0.0024989410350926,0.0406138830740269,0.0006953483250954,1.4107439070611666e-06,3.841399443325947e-07,5.377071866803757e-06,0.44777425677253,43.49777334835427,0.211016022855132,0.1871774846502744,0.1871774846502744,0.211016022855132
