,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,PIXEL_INDEX,MIN_LAT (deg),MAX_LAT(deg),MIN_LON deg,MAX_LON deg,AM g/mol,NEUTRON_DEN g/cm3,W_MGOg/g,W_AL2O3g/g,W_SIO2g/g,W_CAOg/g,W_TIO2g/g,W_FEO g/g,W_K ppm,W_THppm,W_U ppm,E[00],E[01],E[02],E[03],E[04],E[05],E[06],E[07],E[08],E[11],E[12],E[13],E[14],E[15],E[16],E[17],E[18],E[22],E[23],E[24],E[25],E[26],E[27],E[28],E[33],E[34],E[35],E[36],E[37],E[38],E[44],E[45],E[46],E[47],E[48],E[55],E[56],E[57],E[58],E[66],E[67],E[68],E[77],E[78],E[88],H,Sm,Mg,Al,Si,Ca,Ti,Fe,K,Th,U,Gd,O,sigma_a_calc,thermal_flux,thermal_flux_no_correction,thermal_flux_const_temp,thermal_flux_temp_varying
40,40,40,40,40,40,40,40,40,40,40,40.0,-20.0,0.0,-126.0,-108.0,21.835,1.692e-06,0.040931,0.27407,0.43808,0.16804,0.0036374,0.043128,241.87,0.41668,0.11275,1.5473e-05,0.0,0.0,-4.3568e-06,0.0,0.0,-0.053317,-1.898e-07,-6.9327e-06,3.8359e-05,0.0,-1.1831e-05,0.0,-3.3224e-06,0.0096792,-3.3603e-05,8.485199999999998e-06,2.8953e-05,-1.248e-06,-7.7825e-07,3.8213e-07,0.036013,3.535e-05,-5.1558e-05,1.3359e-05,0.0,0.0,0.0057495,-1.1208e-05,1.6882e-05,2.6956e-07,3.7651e-08,-0.0007354399999999,5.3541e-07,3.2877e-06,1.0282e-06,0.00066986,1.8255e-06,4.4725e-06,603.84,0.0,0.0,0.00080519,-0.00011166,0.00046681,4.8553939060914574e-05,1.2855571115446266e-08,0.0217475594170728,0.0872998087583582,0.1812369255934582,0.1486942440249246,0.0019295722905198,0.0296674586949558,0.0002140244989425,3.687093406350013e-07,9.976955495007297e-08,1.671224245008015e-08,0.5291613547359977,30.96927764026602,0.3051787448723504,0.2290014950608249,0.3051787448723504,0.30508465380888805
41,41,41,41,41,41,41,41,41,41,41,41.0,-20.0,0.0,-108.0,-90.0,21.852,1.6733e-06,0.043253,0.26254,0.45227,0.16073,0.0043023,0.046196,270.5,0.37661,0.10182,1.362e-05,0.0,0.0,-3.8571e-06,0.0,0.0,-0.046947,-1.4408e-07,-6.1646e-06,3.374e-05,0.0,-1.047e-05,0.0,-2.9391e-06,0.0084732,-2.9366e-05,7.5262e-06,2.5462e-05,-1.1007e-06,-6.9447e-07,3.2181e-07,0.031754,3.1006e-05,-4.5544e-05,1.1819e-05,0.0,0.0,0.005091,-9.9229e-06,1.4879e-05,2.4368e-07,3.5347e-08,-0.00065585,4.6875e-07,2.9458e-06,9.2453e-07,0.00060751,1.5766e-06,3.9872e-06,532.07,0.0,0.0,0.00070636,-9.8347e-05,0.00041128,2.970054274245963e-05,5.12959668801018e-08,0.0229692833824538,0.0835834538557468,0.1870096772915117,0.14215150722356,0.0022810968336349,0.0317613124376907,0.0002392333895598,3.3307832474002936e-07,9.00508085951775e-08,6.668475694413235e-08,0.5299741939332424,31.444450260975607,0.2976605440144734,0.22421386796413378,0.2976605440144734,0.29698965399843624
42,42,42,42,42,42,42,42,42,42,42,42.0,-20.0,0.0,-90.0,-72.0,21.846,1.5792e-06,0.044853,0.26764,0.44739,0.15471,0.005799,0.051627,377.74,0.60378,0.16383,1.436e-05,0.0,0.0,-4.1333e-06,0.0,0.0,-0.049402,1.8027e-07,-6.5237e-06,3.5788e-05,0.0,-1.1304e-05,0.0,-3.1913e-06,0.0086233,-3.0566e-05,9.022300000000002e-06,2.6846e-05,-1.0869e-06,-7.7444e-07,2.9643e-07,0.033733,3.2742e-05,-4.8946e-05,1.2688e-05,0.0,0.0,0.0054658,-1.0886e-05,1.5344e-05,2.8808e-07,4.8359e-08,-0.0007294899999999,4.7212e-07,3.3317e-06,1.068e-06,0.00071775,1.5497e-06,4.34e-06,559.33,0.0,0.0,0.0007445499999999,-0.00010667,0.00043189,6.562080622799754e-05,8.255742782053475e-09,0.0247191707782523,0.0884274384431158,0.1919834374470581,0.1419986126802396,0.0031908569229372,0.0368368213386586,0.0003467038714616,5.541718205938534e-07,1.503692890918729e-07,1.0732465616669518e-08,0.5124306141827304,34.02447621354119,0.2820665541019348,0.2215589626457965,0.2820665541019348,0.2818301350860205
43,43,43,43,43,43,43,43,43,43,43,43.0,-20.0,0.0,-72.0,-54.0,22.153,1.1616e-06,0.079359,0.22013,0.43224,0.16264,0.01135,0.089059,1099.6,2.5646,0.69913,1.5444999999999995e-05,0.0,0.0,-4.6723e-06,0.0,0.0,-0.053377,2.0571e-06,-6.6618e-06,3.8813e-05,0.0,-1.3116e-05,0.0,-3.9929e-06,0.0080998,-3.0468e-05,1.4769e-05,2.8489e-05,-7.184e-07,-1.1299e-06,1.8971e-08,0.038032,3.5578e-05,-5.7093e-05,1.4415e-05,0.0,0.0,0.0063843,-1.4033e-05,1.3967e-05,5.7941e-07,1.5206e-07,-0.0010861,2.3418e-07,5.1759e-06,1.8874e-06,0.0012867,7.882e-07,5.5959e-06,610.38,0.0,0.0,0.0008233999999999,-0.00013359,0.00046603,7.383441629911055e-05,1.968499138380463e-06,0.0510019055751907,0.0848131261834579,0.2162968824346289,0.1740768003022974,0.0072827918620967,0.074102163386466,0.0011769235711533,2.744941970334924e-06,7.482926303206173e-07,2.5590488798946014e-06,0.3911675514857906,53.92591090170799,0.17162079854991852,0.17006024141137246,0.17162079854991852,0.1717142265189062
44,44,44,44,44,44,44,44,44,44,44,44.0,-20.0,0.0,-54.0,-36.0,22.808,7.926699999999999e-07,0.089558,0.14046,0.39585,0.15824,0.032186,0.16934,1780.5,4.3484,1.1861,1.6601e-05,0.0,0.0,-4.8653e-06,0.0,0.0,-0.057607,4.827e-06,-6.8392e-06,4.173e-05,0.0,-1.439e-05,0.0,-5.4042e-06,0.0080917999999999,-2.9506e-05,2.0311e-05,2.9925e-05,-1.3813e-07,-1.8201e-06,-5.244e-07,0.042753,3.9172e-05,-6.5549e-05,1.5554e-05,0.0,0.0,0.0070159,-1.7394e-05,1.0809e-05,1.4408e-06,4.5211e-07,-0.001902,-7.6296e-07,8.698299999999998e-06,3.9656e-06,0.0023205,-1.2889e-06,7.546899999999999e-06,676.66,0.0,0.0,0.00092337,-0.00016548,0.00051197,7.924864138414844e-05,1.4122837243527516e-06,0.0593501125458836,0.0558037579362726,0.2042597983456015,0.1746452379370704,0.021295899465502,0.1452912875924458,0.0019650900287345,4.799212289216109e-06,1.3090667133288628e-06,1.8359688416585768e-06,0.3373002109755366,81.90399498512568,0.10719668379331414,0.11803048186432916,0.10719668379331414,0.10674669218490868
45,45,45,45,45,45,45,45,45,45,45,45.0,-20.0,0.0,-36.0,-18.0,22.888,7.0962e-07,0.10058,0.14465,0.3852,0.15106,0.035646,0.18306,2516.0,6.2126,1.695,1.8147e-05,0.0,0.0,-5.1065e-06,0.0,0.0,-0.06337,6.2639e-06,-6.5655e-06,4.4749e-05,0.0,-1.5148e-05,0.0,-6.1866e-06,0.0087948999999999,-3.1706e-05,2.3159e-05,3.2118e-05,1.2605e-07,-2.1873e-06,-6.9064e-07,0.047288,4.3351e-05,-7.1193e-05,1.6351e-05,0.0,0.0,0.0078075,-1.9043e-05,9.879100000000002e-06,1.9332e-06,6.1723e-07,-0.0023673,-1.4181e-06,1.0383e-05,5.0438e-06,0.0029145,-2.2344e-06,8.2455e-06,750.0399999999998,0.0,0.0,0.0010346,-0.00019052,0.00055291,9.152191297229913e-05,3.4479851867231795e-06,0.0681972917176266,0.0587986772846306,0.2033653059195881,0.1705800709328776,0.024131155602444,0.1606984957617769,0.0028411191478029,7.015396191431192e-06,1.914028996631985e-06,4.482380742740133e-06,0.3112795019291633,91.75645356711128,0.09529019791448232,0.10981366607313445,0.09529019791448232,0.0951721995340396
46,46,46,46,46,46,46,46,46,46,46,46.0,-20.0,0.0,-18.0,0.0,22.393,7.9437e-07,0.10713,0.19419,0.39703,0.17658,0.020979,0.12723,2859.1,7.6855,2.0971,1.947e-05,0.0,0.0,-5.5865e-06,0.0,0.0,-0.068196,5.9279e-06,-6.2715e-06,4.7142e-05,0.0,-1.585e-05,0.0,-5.8944e-06,0.0094702,-3.6254e-05,2.3903e-05,3.4347e-05,4.0085e-09,-1.9987e-06,-4.2625e-07,0.049974,4.6462e-05,-7.3344e-05,1.709e-05,0.0,0.0,0.0086265,-1.9547e-05,1.1456e-05,1.5161e-06,4.8189e-07,-0.0020655,-8.9835e-07,9.2941e-06,4.1268e-06,0.0026718,-1.0519e-06,7.8614e-06,793.71,0.0,0.0,0.0011177,-0.00020264,0.00057387,0.0001009365864516,9.926422232645157e-06,0.0698514394312806,0.075907508789614,0.2015685018710703,0.1917472221977564,0.0136571745037489,0.1074030560603762,0.003104680501674,8.345640934425514e-06,2.277229016145175e-06,1.2904348902438705e-05,0.336626026416942,81.38343940344457,0.11477873615504451,0.1218976681380261,0.11477873615504451,0.11481005798016203
47,47,47,47,47,47,47,47,47,47,47,47.0,-20.0,0.0,0.0,18.0,21.777,1.1828e-06,0.095226,0.24104,0.42821,0.1738899999999999,0.0067813,0.066857,1329.6,3.2107,0.87553,1.7995e-05,0.0,0.0,-5.3629e-06,0.0,0.0,-0.061846,2.3148e-06,-6.9571e-06,4.4424e-05,0.0,-1.4797e-05,0.0,-4.4564e-06,0.0094856,-3.5564e-05,1.6666e-05,3.2755e-05,-7.725899999999999e-07,-1.2463e-06,1.0981e-07,0.043651,4.101e-05,-6.4109e-05,1.6259e-05,0.0,0.0,0.0074385,-1.5784999999999995e-05,1.5659e-05,6.1311e-07,1.5851e-07,-0.0011848,2.8332e-07,5.5937e-06,1.9932e-06,0.001415,1.0785e-06,6.0198e-06,698.62,0.0,0.0,0.00094865,-0.00015348,0.00052343,5.3645369939910064e-05,4.95862109370229e-06,0.054658592371903,0.0829441271657203,0.1913792266530405,0.1662267148678143,0.0038862226553727,0.0496835526562424,0.001271004888655,3.0692053219051804e-06,8.369456303882776e-07,6.446207421812977e-06,0.4498816023918439,47.754715894662255,0.19592515433272706,0.16975116859479666,0.19592515433272706,0.19588456489413808
48,48,48,48,48,48,48,48,48,48,48,48.0,-20.0,0.0,18.0,36.0,22.05,1.1967e-06,0.095037,0.22126,0.42433,0.14942,0.014837,0.083148,588.3,1.3935,0.37942,1.555e-05,0.0,0.0,-4.7129e-06,0.0,0.0,-0.053119,1.6944e-06,-6.9651e-06,3.9333e-05,0.0,-1.3319e-05,0.0,-3.9909e-06,0.0081684,-3.0342e-05,1.424e-05,2.8809e-05,-8.0963e-07,-1.1131e-06,4.2287e-08,0.037824,3.5216e-05,-5.74e-05,1.4644e-05,0.0,0.0,0.0062113,-1.3844000000000003e-05,1.4588e-05,5.5807e-07,1.4218e-07,-0.001061,3.0053e-07,5.0901e-06,1.8207e-06,0.0012151,8.8772e-07,5.6039e-06,602.36,0.0,0.0,0.0008033699999999,-0.00012784,0.00046765,4.119419022825038e-05,1.4621637757576387e-06,0.0570231530290652,0.0795893647804453,0.1982427599007943,0.149310570336832,0.008888253366495,0.0645911731947751,0.0005878691509111,1.3924794523114405e-06,3.791421268719101e-07,1.9008129084849305e-06,0.44172052745219,49.04602962033446,0.19169554548660012,0.17379359446960244,0.19169554548660012,0.1913399997088413
49,49,49,49,49,49,49,49,49,49,49,49.0,-20.0,0.0,36.0,54.0,22.321,1.1149e-06,0.10254,0.18338,0.42725,0.14485,0.015769,0.11485,618.73,1.2828,0.3492,1.669e-05,0.0,0.0,-5.1111e-06,0.0,0.0,-0.057171,2.2011e-06,-7.759599999999998e-06,4.252e-05,0.0,-1.4646e-05,0.0,-4.5308e-06,0.0085637,-3.1702e-05,1.6302e-05,3.097e-05,-8.032299999999999e-07,-1.306e-06,-9.1611e-08,0.041198,3.7888e-05,-6.351e-05,1.6064e-05,0.0,0.0,0.0067207,-1.5560999999999996e-05,1.5301e-05,7.1403e-07,1.9183e-07,-0.0012602,2.31e-07,6.0943e-06,2.3051e-06,0.0014739,5.8371e-07,6.5462e-06,654.26,0.0,0.0,0.00086578,-0.00014068,0.00051174,5.697579983365836e-05,4.819143981045037e-07,0.0607006355389298,0.0650796959292359,0.1969323600586907,0.1428044490798131,0.0093199997082394,0.0880225166462038,0.0006099923837014,1.2646844824272296e-06,3.442686476953451e-07,6.264887175358547e-07,0.4364706574991062,53.20250364118522,0.17947602507617583,0.16067849142699392,0.17947602507617583,0.17923721158577277
