ENERGY_BIN_INDEX,current_FHT,energy_FHT,error_FHT,current_PAN,energy_PAN,error_PAN,current_SPA,energy_SPA,error_SPA,current_nPKT,energy_nPKT,error_nPKT,current_PKT,energy_PKT,error_PKT
26,0.00034766,7.0326e-09,0.0374,0.000494586,7.0326e-09,0.0315,0.000222505,7.0326e-09,0.0472,9.716689638351697e-05,7.0326e-09,0.0711,5.352539681853147e-05,7.0326e-09,0.0941
27,0.000430571,7.5805e-09,0.0338,0.000585409,7.5805e-09,0.0292,0.000241784,7.5805e-09,0.0448,9.530234067454e-05,7.5805e-09,0.0697,7.09507967163281e-05,7.5805e-09,0.0826
28,0.000499242,8.1711e-09,0.0315,0.000665516,8.1711e-09,0.0274,0.000302961,8.1711e-09,0.0406,0.000116049,8.1711e-09,0.0635,6.721148532184801e-05,8.1711e-09,0.0839
29,0.000571375,8.8077e-09,0.0295,0.00073052,8.8077e-09,0.0262,0.00035802,8.8077e-09,0.037,0.000127411,8.8077e-09,0.0601,8.640604114817132e-05,8.8077e-09,0.0732
30,0.000637159,9.4939e-09,0.0277,0.000898971,9.4939e-09,0.0234,0.000397931,9.4939e-09,0.0353,0.000158799,9.4939e-09,0.0549,9.895105227752326e-05,9.4939e-09,0.0702
31,0.000743849,1.0234e-08,0.0258,0.001031527,1.0234e-08,0.0222,0.000456154,1.0234e-08,0.0327,0.00018825,1.0234e-08,0.05,0.000112196,1.0234e-08,0.0653
32,0.000829842,1.1031e-08,0.0246,0.001157297,1.1031e-08,0.0208,0.000541352,1.1031e-08,0.0301,0.000195765,1.1031e-08,0.0489,0.000136434,1.1031e-08,0.0585
33,0.000939075,1.189e-08,0.023,0.001274085,1.189e-08,0.0198,0.000561668,1.189e-08,0.0296,0.000247813,1.189e-08,0.0441,0.000161037,1.189e-08,0.0537
34,0.001119657,1.2816e-08,0.0211,0.001458945,1.2816e-08,0.0186,0.000649381,1.2816e-08,0.0272,0.000279589,1.2816e-08,0.0409,0.00018768,1.2816e-08,0.0502
35,0.001267929,1.3815e-08,0.0199,0.001634636,1.3815e-08,0.0176,0.000783585,1.3815e-08,0.025,0.000338356,1.3815e-08,0.0377,0.000237571,1.3815e-08,0.0449
36,0.001443165,1.4891e-08,0.0187,0.001878332,1.4891e-08,0.0165,0.00088312,1.4891e-08,0.0237,0.000348455,1.4891e-08,0.0367,0.000241739,1.4891e-08,0.0444
37,0.0015692,1.6051e-08,0.0179,0.002103007,1.6051e-08,0.0156,0.000969172,1.6051e-08,0.0226,0.000406416,1.6051e-08,0.0342,0.000291749,1.6051e-08,0.04
38,0.001799108,1.7302e-08,0.0167,0.002384371,1.7302e-08,0.0147,0.001150679,1.7302e-08,0.0208,0.000482813,1.7302e-08,0.0314,0.000334749,1.7302e-08,0.0375
39,0.001997203,1.865e-08,0.0159,0.002617434,1.865e-08,0.0139,0.001271901,1.865e-08,0.0197,0.000560735,1.865e-08,0.0291,0.000363112,1.865e-08,0.0358
40,0.002241115,2.0103e-08,0.015,0.002935277,2.0103e-08,0.0132,0.001447233,2.0103e-08,0.0186,0.000620573,2.0103e-08,0.0276,0.000460709,2.0103e-08,0.0321
41,0.002504718,2.1669e-08,0.0142,0.003248441,2.1669e-08,0.0126,0.001561016,2.1669e-08,0.0179,0.000739871,2.1669e-08,0.0254,0.000490765,2.1669e-08,0.0311
42,0.002750406,2.3357e-08,0.0136,0.00358966,2.3357e-08,0.012,0.001754288,2.3357e-08,0.0169,0.000794644,2.3357e-08,0.0244,0.000559012,2.3357e-08,0.0291
43,0.003091937,2.5177e-08,0.0129,0.003935259,2.5177e-08,0.0115,0.001966279,2.5177e-08,0.0161,0.000881669,2.5177e-08,0.0232,0.000632762,2.5177e-08,0.0275
44,0.00333688,2.7138e-08,0.0125,0.004301906,2.7138e-08,0.0111,0.002205043,2.7138e-08,0.0151,0.001001932,2.7138e-08,0.0218,0.000744878,2.7138e-08,0.0253
45,0.003681496,2.9253e-08,0.0119,0.004725481,2.9253e-08,0.0106,0.002418294,2.9253e-08,0.0145,0.00114566,2.9253e-08,0.0205,0.000795459,2.9253e-08,0.0244
46,0.004005855,3.1532e-08,0.0114,0.005109372,3.1532e-08,0.0102,0.002664294,3.1532e-08,0.0139,0.001269825,3.1532e-08,0.0193,0.000921672,3.1532e-08,0.0227
47,0.004318754,3.3988e-08,0.011,0.005513027,3.3988e-08,0.0099,0.002872937,3.3988e-08,0.0134,0.001404777,3.3988e-08,0.0185,0.000991949,3.3988e-08,0.0221
